Date,Return - INFY,Return - IRCTC,Return - TATAELXSI
2023-01-02,0.010476097,0.004142510,0.002306750
2023-01-03,-0.000951411,0.002646551,0.018451210
2023-01-04,-0.018226002,-0.013741132,-0.007340294
2023-01-05,-0.013112187,0.003069918,-0.012889390
2023-01-06,-0.018099208,-0.001412578,-0.014878892
2023-01-09,0.024818744,0.005265188,0.006151229
2023-01-10,-0.009902625,-0.004143158,-0.005166912
2023-01-11,0.001020582,0.005965912,0.002742024
2023-01-12,0.006355124,-0.000156030,-0.003241202
2023-01-13,0.015568046,0.001326740,0.007358831
2023-01-16,0.014531291,-0.002260346,0.001698121
2023-01-17,0.009177319,0.001718672,0.000303846
2023-01-18,0.003832429,-0.001559697,0.001302994
2023-01-19,-0.004206031,0.000234264,0.006187230
2023-01-20,-0.008675011,0.001796071,0.012163466
2023-01-23,0.014715971,0.002104569,0.043452079
2023-01-24,0.002519395,0.000622315,0.006520957
2023-01-25,-0.005734921,-0.024331505,-0.015174232
2023-01-27,-0.015456887,-0.025017946,0.010178546
2023-01-30,0.012934881,0.021247039,-0.012934524
2023-01-31,-0.003281810,0.018804514,0.008292650
2023-02-01,0.011312128,-0.013430707,-0.005359852
2023-02-02,0.021049594,0.003423333,-0.001349053
2023-02-03,0.009881625,-0.004363694,-0.002595545
2023-02-06,-0.018475708,0.011793711,0.014921330
2023-02-07,-0.004745646,0.002520337,0.003493643
2023-02-08,0.017985135,0.007620357,0.000799417
2023-02-09,0.016661427,0.015827264,-0.001896160
2023-02-10,-0.005225696,-0.011205753,-0.000224378
2023-02-13,-0.025551022,-0.006287430,-0.016712382
2023-02-14,0.016459887,0.003046418,0.003781162
2023-02-15,0.002385093,0.008099077,0.008056996
2023-02-16,0.002974234,0.003089996,0.005834601
2023-02-17,-0.011237358,0.001001192,-0.003864713
2023-02-20,0.005461486,-0.012386594,0.000600339
2023-02-21,-0.008132093,0.001090616,-0.000772458
2023-02-22,-0.011206047,-0.036183955,-0.021585890
2023-02-23,-0.007107247,-0.027450348,-0.005132011
2023-02-24,-0.000032196,0.009214657,0.004371979
2023-02-27,-0.026666220,-0.013161142,-0.023668578
2023-02-28,-0.014410653,0.015670625,-0.036084449
2023-03-01,0.005714093,0.003446822,0.010662006
2023-03-02,-0.015975418,-0.003516748,-0.007111079
2023-03-03,0.004856859,0.007797111,0.004211069
2023-03-06,0.019029204,0.003013236,0.009908557
2023-03-08,-0.009784736,0.003978584,0.016440534
2023-03-09,-0.008240053,-0.005175919,-0.008777387
2023-03-10,-0.005978097,-0.005040202,-0.005608994
2023-03-13,-0.024769849,-0.016831421,-0.018938059
2023-03-14,-0.010521898,0.002825483,-0.011164696
2023-03-15,-0.000246462,0.003812129,0.004214401
2023-03-16,-0.010953438,-0.003632481,0.004443179
2023-03-17,0.011822502,0.013588552,0.007178934
2023-03-20,-0.012001075,-0.011771457,-0.019654133
2023-03-21,-0.009225998,0.003805092,0.008570789
2023-03-22,-0.001042605,-0.003296251,-0.005632509
2023-03-23,-0.010581214,0.000661470,-0.002402782
2023-03-24,0.004437798,-0.008427722,-0.006646399
2023-03-27,0.006011608,-0.029914194,-0.007382521
